250	5.43E-06	1.694
260	5.08E-06	1.8
270	4.59E-06	2.129
280	4.24E-06	3.052
290	4.46E-06	4.426
300	5.78E-06	5.055
310	6.94E-06	5.074
320	7.81E-06	5.102
330	8.55E-06	5.179
340	9.17E-06	5.293
350	9.62E-06	5.483
360	9.80E-06	6.014
370	1.43E-05	6.863
380	3.41E-05	6.548
390	6.67E-05	5.976
400	0.000105042016807	5.587
410	0.000148367952522	5.305
420	0.0002	5.091
430	0.000255102040816	4.925
440	0.00032154340836	4.793
450	0.000392156862745	4.676
460	0.000476190476191	4.577
470	0.000581395348837	4.491
480	0.000675675675676	4.416
490	0.000787401574803	4.348
500	0.000900900900901	4.293
510	0.001030927835052	4.239
520	0.001136363636364	4.192
530	0.001273885350319	4.15
540	0.001418439716312	4.11
550	0.001564945226917	4.077
560	0.001730103806228	4.044
570	0.00187969924812	4.015
580	0.002049180327869	3.986
590	0.002227171492205	3.962
600	0.002415458937198	3.939
610	0.002624671916011	3.916
620	0.002840909090909	3.895
630	0.003058103975535	3.879
640	0.003289473684211	3.861
650	0.00355871886121	3.844
660	0.003875968992248	3.83
670	0.004201680672269	3.815
680	0.004524886877828	3.8
690	0.004878048780488	3.787
700	0.005263157894737	3.774
710	0.005649717514124	3.762
720	0.006024096385542	3.751
730	0.006493506493507	3.741
740	0.007042253521127	3.732
750	0.007692307692308	3.723
760	0.008403361344538	3.714
770	0.009090909090909	3.705
780	0.00990099009901	3.696
790	0.010775862068966	3.688
800	0.011764705882353	3.681
810	0.012903225806452	3.674
820	0.014144271570014	3.668
830	0.015455950540958	3.662
840	0.016920473773266	3.656
850	0.018691588785047	3.65
860	0.020833333333333	3.644
870	0.023148148148148	3.638
880	0.026109660574413	3.632
890	0.029154518950437	3.626
900	0.032679738562092	3.62
910	0.036764705882353	3.614
920	0.041666666666667	3.608
930	0.047619047619048	3.602
940	0.054644808743169	3.597
950	0.063694267515924	3.592
960	0.074626865671642	3.587
970	0.087719298245614	3.582
980	0.104275286757039	3.578
990	0.126262626262626	3.574
1000	0.15625	3.57
1010	0.195694716242661	3.566
1020	0.25062656641604	3.563
1030	0.33112582781457	3.56
1040	0.442477876106195	3.557
1050	0.613496932515337	3.554
1060	0.900900900900901	3.551
1070	1.25	3.548
1080	1.61290322580645	3.546
1090	2.12765957446808	3.544
1100	2.85714285714286	3.541
1110	3.7037037037037	3.539
1120	5	3.537
1130	6.66666666666667	3.534
1140	10	3.532
1150	14.7058823529412	3.53
1160	23.8095238095238	3.528
1170	45.4545454545455	3.526
1180	153.846153846154	3.524
1190	277.777777777778	3.522
1200	454.545454545455	3.52
1210	769.230769230769	3.528
1220	1219.51219512195	3.516
1230	2127.65957446808	3.515
1240	4166.66666666667	3.513
1250	10000	3.511
1260	27777.7777777778	3.51
1270	50000	3.508
1280	83333.3333333333	3.507
1290	140845.070422535	3.506
1300	222222.222222222	3.504
1310	370370.37037037	3.503
1320	625000	3.501
1330	1250000	3.5
1340	2857142.85714286	3.498
1350	5882352.94117647	3.497
1360	10000000	3.496
1370	14925373.1343284	3.495
1380	22222222.2222222	3.493
1390	40000000	3.492
1400	50000000	3.491
1410	66666666.6666667	3.49
1420	117647058.823529	3.489
1430	129870129.87013	3.488
1440	238095238.095238	3.487
1450	312500000	3.486
